Categoria,Departamento,ETI,Data Nascimento
Professor Adjunto,DEETC,1,1975-02-14 00:00:00
Professor Adjunto,DM,1,1972-09-19 00:00:00
Professor Adjunto,DEM,1,1976-05-05 00:00:00
Prof. Coordenador,DEC,1,1968-05-02 00:00:00
Professor Adjunto,DEQ,1,1973-03-21 00:00:00
Professor Adjunto,DM,1,1973-06-03 00:00:00
Prof. Coordenador,DEC,1,1963-02-25 00:00:00
Professor Adjunto,DM,1,1972-02-08 00:00:00
Equiparado Assistente 2º Triénio,DEM,1,1975-06-05 00:00:00
Professor Adjunto,DM,1,1973-07-10 00:00:00
Professor Adjunto Convidado,DEC,0.2,1966-03-03 00:00:00
Professor Adjunto,DEC,1,1972-09-28 00:00:00
Professor Adjunto,DEQ,1,1974-08-27 00:00:00
Professor Adjunto,DEEEA,1,1977-07-06 00:00:00
Professor Adjunto,DEEEA,1,1977-07-29 00:00:00
Professor Adjunto,DEEEA,1,1977-01-22 00:00:00
Professor Adjunto,DEQ,1,1966-05-06 00:00:00
Prof. Coordenador c/ Agreg. ,DM,1,1973-03-16 00:00:00
Professor Adjunto,DEM,1,1976-11-09 00:00:00
Professor Adjunto,DEETC,1,1978-11-06 00:00:00
Professor Adjunto,DEQ,1,1977-04-21 00:00:00
Professor Adjunto Convidado,DEC,0.2,1964-03-29 00:00:00
Professor Adjunto,DEQ,1,1973-10-15 00:00:00
Professor Adjunto,DM,1,1975-11-19 00:00:00
Assistente Convidado,DEETC,0.5,1975-05-30 00:00:00
Professor Adjunto,DEETC,1,1975-06-05 00:00:00
Professor Adjunto,DEETC,1,1977-01-27 00:00:00
Professor Adjunto,DEETC,1,1975-05-16 00:00:00
Professor Adjunto,DEC,1,1976-11-12 00:00:00
Professor Adjunto,DEEEA,1,1977-06-16 00:00:00
Professor Adjunto,DEM,1,1972-07-27 00:00:00
Professor Adjunto,DEEEA,1,1962-07-01 00:00:00
Professor Adjunto,DM,1,1974-01-13 00:00:00
Assistente,DEEEA,1,1963-11-16 00:00:00
Professor Adjunto,DEC,1,1979-08-25 00:00:00
Professor Adjunto,DEETC,1,1977-11-17 00:00:00
Professor Adjunto,DEETC,1,1978-05-08 00:00:00
Prof. Coordenador,DF,1,1962-08-08 00:00:00
Professor Adjunto,DEC,1,1971-01-07 00:00:00
Professor Adjunto,DEC,1,1973-10-08 00:00:00
Professor Adjunto,DEC,1,1967-01-17 00:00:00
Professor Adjunto,DM,1,1977-08-29 00:00:00
Assistente Convidado,DM,0.55,1970-04-21 00:00:00
Prof. Coordenador c/ Agreg. ,DEQ,1,1962-08-09 00:00:00
Assistente Convidado,DEETC,0.5,1978-09-24 00:00:00
Professor Adjunto,DEETC,1,1977-11-03 00:00:00
Professor Adjunto,DF,1,1970-08-17 00:00:00
Prof. Coordenador,DF,1,1970-12-07 00:00:00
Professor Adjunto,DM,1,1976-05-19 00:00:00
Professor Adjunto,DM,1,1975-08-18 00:00:00
Professor Adjunto,DM,1,1975-06-16 00:00:00
Professor Adjunto,DEETC,1,1974-11-06 00:00:00
Professor Adjunto,DEETC,1,1975-11-27 00:00:00
Professor Adjunto,DEETC,1,1977-02-13 00:00:00
Professor Adjunto,DM,1,1976-12-31 00:00:00
Professor Adjunto,DM,1,1979-10-15 00:00:00
Assistente Convidado,DEETC,0.5,1979-07-01 00:00:00
Assistente Convidado,DEETC,0.5,1978-09-24 00:00:00
Professor Adjunto,DM,1,1978-11-15 00:00:00
Professor Adjunto,DEEEA,1,1969-07-20 00:00:00
Professor Adjunto,DEETC,1,1978-10-08 00:00:00
Prof. Coordenador,DF,1,1969-02-18 00:00:00
Professor Adjunto,DM,1,1978-05-21 00:00:00
Professor Adjunto,DM,1,1976-08-04 00:00:00
Professor Adjunto,DM,1,1976-07-06 00:00:00
Professor Adjunto,DEETC,1,1979-11-01 00:00:00
Professor Adjunto,DEETC,1,1965-09-02 00:00:00
Professor Adjunto,DEC,1,1981-12-07 00:00:00
Professor Adjunto Convidado,DEM,0.6,1978-05-02 00:00:00
Professor Adjunto,DM,1,1978-10-24 00:00:00
Professor Adjunto,DM,1,1980-02-23 00:00:00
Professor Adjunto,DEC,1,1971-10-26 00:00:00
Professor Adjunto,DM,1,1958-04-16 00:00:00
Prof. Coordenador,DEETC,1,1970-03-06 00:00:00
Professor Adjunto,DEETC,1,1978-09-01 00:00:00
Professor Adjunto,DEETC,1,1978-02-14 00:00:00
Professor Adjunto,DM,1,1978-12-02 00:00:00
Professor Adjunto,DEM,1,1976-11-23 00:00:00
Professor Adjunto,DEETC,1,1975-04-02 00:00:00
Professor Adjunto,DEETC,1,1978-04-26 00:00:00
Professor Adjunto,DEM,1,1968-01-27 00:00:00
Professor Adjunto,DEETC,1,1974-02-10 00:00:00
Professor Adjunto,DEQ,1,1971-04-26 00:00:00
Prof. Coordenador,DEEEA,1,1976-03-29 00:00:00
Professor Adjunto,DEEEA,1,1979-02-18 00:00:00
Prof. Coordenador c/ Agreg. ,DF,1,1965-06-08 00:00:00
Professor Adjunto,DEEEA,1,1975-09-16 00:00:00
Professor Adjunto Convidado,DEEEA,0.6,1968-07-24 00:00:00
Prof. Coordenador,DEM,1,1960-02-22 00:00:00
Professor Adjunto,DF,1,1970-11-13 00:00:00
Professor Adjunto,DF,1,1972-01-13 00:00:00
Prof. Coordenador,DM,1,1969-07-19 00:00:00
Professor Adjunto,DF,1,1974-10-11 00:00:00
Professor Adjunto,DEM,1,1976-06-06 00:00:00
Professor Adjunto,DEM,1,1964-02-25 00:00:00
Prof. Coordenador c/ Agreg. ,DEM,1,1967-08-21 00:00:00
Professor Adjunto,DEM,1,1969-01-12 00:00:00
Professor Adjunto,DEM,1,1976-06-13 00:00:00
Prof. Coordenador,DEM,1,1969-03-25 00:00:00
Professor Adjunto Convidado,DEETC,0.5,1959-12-20 00:00:00
Professor Adjunto Convidado,DEETC,0.5,1974-07-05 00:00:00
Professor Adjunto Convidado,DEM,0.6,1960-12-29 00:00:00
Professor Adjunto,DF,1,1966-04-23 00:00:00
Assistente Convidado,DEETC,0.5,1984-04-11 00:00:00
Prof. Coordenador,DM,1,1972-04-16 00:00:00
Professor Adjunto,DEM,1,1970-02-02 00:00:00
Professor Adjunto,DEQ,1,1966-02-28 00:00:00
Professor Adjunto,DEM,1,1980-10-24 00:00:00
Professor Adjunto,DEQ,1,1970-09-27 00:00:00
Assistente Convidado,DEETC,0.5,1989-08-28 00:00:00
Professor Adjunto,DEM,1,1980-01-07 00:00:00
Professor Adjunto Convidado,DEM,0.3,1972-01-12 00:00:00
Professor Adjunto,DEM,1,1986-12-15 00:00:00
Professor Adjunto Convidado,DEM,0.6,1973-03-11 00:00:00
Professor Adjunto,DEM,1,1985-04-08 00:00:00
Professor Adjunto Convidado,DEM,0.5,1978-01-30 00:00:00
Professor Adjunto,DEM,1,1982-12-01 00:00:00
Professor Adjunto,DEM,1,1976-04-26 00:00:00
Assistente Convidado,DEETC,0.55,1989-07-10 00:00:00
Professor Adjunto,DEM,1,1972-02-11 00:00:00
Professor Adjunto,DEM,1,1985-01-12 00:00:00
Professor Adjunto Convidado,DEETC,0.5,1987-12-01 00:00:00
Monitor,DEETC,0.5,1992-11-18 00:00:00
Monitor,DEM,0.8,1997-10-02 00:00:00
Professor Adjunto Convidado,DEETC,0.5,1972-02-01 00:00:00
Professor Adjunto Convidado,DEETC,0.5,1978-07-16 00:00:00
Monitor,DEETC,0.8,1994-11-22 00:00:00
Assistente Convidado,DM,0.55,1991-08-19 00:00:00
Professor Adjunto Convidado,DM,0.6,1972-06-20 00:00:00
Professor Adjunto Convidado,DM,0.6,1974-01-13 00:00:00
Professor Adjunto Convidado,DEEEA,0.55,1974-08-26 00:00:00
Professor Adjunto Convidado,DEQ,0.35,1973-05-13 00:00:00
Monitor,DEM,0.8,1998-07-20 00:00:00
Monitor,DEM,0.8,1998-01-19 00:00:00
Assistente Convidado,DEETC,0.5,1978-01-28 00:00:00
Monitor,DEETC,0.5,1994-03-12 00:00:00
Professor Adjunto,DM,1,1971-10-04 00:00:00
Professor Adjunto Convidado,DEM,0.3,1960-07-11 00:00:00
Professor Adjunto,DEETC,1,1985-07-24 00:00:00
Professor Adjunto Convidado,DM,0.6,1986-01-03 00:00:00
Professor Adjunto Convidado,DM,0.6,1979-08-27 00:00:00
Professor Adjunto,DM,1,1979-03-19 00:00:00
Monitor,DEQ,0.8,1995-07-29 00:00:00
Monitor,DEQ,0.8,1995-09-30 00:00:00
Professor Adjunto Convidado,DEM,0.4,1958-08-01 00:00:00
Professor Adjunto Convidado,DEM,0.3,1963-04-27 00:00:00
Monitor,DEEEA,0.8,1998-10-26 00:00:00
Monitor,DEEEA,0.8,1998-07-02 00:00:00
Professor Adjunto Convidado,DEQ,0.2,1977-12-22 00:00:00
Professor Adjunto Convidado,DEQ,0.2,1971-12-21 00:00:00
Professor Adjunto,DEM,1,1977-12-21 00:00:00
Assistente Convidado,DEETC,0.2,1964-04-08 00:00:00
Professor Adjunto Convidado,DEETC,0.5,1978-04-04 00:00:00
Professor Adjunto Convidado,DM,0.6,1989-12-03 00:00:00
Professor Adjunto Convidado,DM,0.6,1969-06-18 00:00:00
Assistente Convidado,DEQ,0.15,1987-12-13 00:00:00
Assistente Convidado,DEQ,0.15,1984-11-03 00:00:00
Assistente Convidado,DEETC,0.2,1988-02-08 00:00:00
Assistente Convidado,DEETC,0.5,1987-12-08 00:00:00
Assistente Convidado,DEETC,0.5,1992-10-06 00:00:00
Professor Adjunto Convidado,DEETC,0.5,1966-01-23 00:00:00
Monitor,DEETC,0.5,2000-12-12 00:00:00
