Categoria,Departamento,ETI,Data Nascimento
,DEETC,0.55,1989-07-10
,DEM,1.0,1972-02-11
,DEM,1.0,1985-01-12
,DEETC,0.5,1987-12-01
,DEETC,0.5,1992-11-18
,DEM,0.8,1997-10-02
,DEETC,0.5,1972-02-01
,DEETC,0.5,1978-07-16
,DEETC,0.8,1994-11-22
,DM,0.55,1991-08-19
,DM,0.6,1972-06-20
,DM,0.6,1974-01-13
,DEEEA,0.55,1974-08-26
,DEQ,0.35,1973-05-13
,DEM,0.8,1998-07-20
,DEM,0.8,1998-01-19
,DEETC,0.5,1978-01-28
,DEETC,0.5,1994-03-12
,DM,1.0,1971-10-04
,DEM,0.3,1960-07-11
,DEETC,1.0,1985-07-24
,DM,0.6,1986-01-03
,DM,0.6,1979-08-27
,DM,1.0,1979-03-19
,DEQ,0.8,1995-07-29
,DEQ,0.8,1995-09-30
,DEM,0.4,1958-08-01
,DEM,0.3,1963-04-27
,DEEEA,0.8,1998-10-26
,DEEEA,0.8,1998-07-02
,DEQ,0.2,1977-12-22
,DEQ,0.2,1971-12-21
,DEM,1.0,1977-12-21
,DEETC,0.2,1964-04-08
,DEETC,0.5,1978-04-04
,DM,0.6,1989-12-03
,DM,0.6,1969-06-18
,DEQ,0.15,1987-12-13
,DEQ,0.15,1984-11-03
,DEETC,0.2,1988-02-08
,DEETC,0.5,1987-12-08
,DEETC,0.5,1992-10-06
,DEETC,0.5,1966-01-23
,DEETC,0.5,2000-12-12
